#num	address	status	hash160	torus_pos	fraction	hot_bin	priority_zone
51	1NpnQyZ7x24ud82b7WiRNvPm6N8bqGQnaS	solved	ef6419cffd7fad7027994354eb8efae223c2dbe7	456501	0.894206	17	-
52	15z9c9sVpu6fwNiK7dMAFgMYSK4GqsGZim	solved	36af659edbe94453f6344e920d143f1778653ae7	262087	0.513383	-	-
53	15K1YKJMiJ4fpesTVUcByoz334rHmknxmT	solved	2f4870ef54fa4b048c1365d42594cc7d3d269551	176363	0.345464	-	-
54	1KYUv7nSvXx4642TKeuC2SNdTk326uUpFy	solved	cb66763cf7fde659869ae7f06884d9a0f879a092	220354	0.431635	-	-
55	1LzhS3k3e9Ub8i2W1V8xQFdB8n2MYCHPCa	solved	db53d9bbd1f3a83b094eeca7dd970bd85b492fa2	441192	0.864218	17	-
56	17aPYR1m6pVAacXg1PTDDU7XafvK1dxvhi	solved	48214c5969ae9f43f75070cea1e2cb41d5bdcccd	39861	0.078081	-	-
57	15c9mPGLku1HuW9LRtBf4jcHVpBUt8txKz	solved	328660ef43f66abe2653fa178452a5dfc594c2a1	81619	0.159877	-	-
58	1Dn8NF8qDyyfHMktmuoQLGyjWmZXgvosXf	solved	8c2a6071f89c90c4dab5ab295d7729d1b54ea60f	506783	0.992699	19	-
59	1HAX2n9Uruu9YDt4cqRgYcvtGvZj1rbUyt	solved	b14ed3146f5b2c9bde1703deae9ef33af8110210	456938	0.895062	17	-
60	1Kn5h2qpgw9mWE5jKpk8PP4qvvJ1QVy8su	solved	cdf8e5c7503a9d22642e3ecfc87817672787b9c5	392777	0.769382	-	-
61	1AVJKwzs9AskraJLGHAZPiaZcrpDr1U6AB	solved	68133e19b2dfb9034edf9830a200cfdf38c90cbd	402955	0.789319	-	-
62	1Me6EfpwZK5kQziBwBfvLiHjaPGxCKLoJi	solved	e26646db84b0602f32b34b5a62ca3cae1f91b779	396961	0.777577	-	-
63	1NpYjtLira16LfGbGwZJ5JbDPh3ai9bjf4	solved	ef58afb697b094423ce90721fbb19a359ef7c50e	228994	0.448559	-	-
64	16jY7qLJnxb7CHZyqBP8qca9d51gAjyXQN	solved	3ee4133d991f52fdf6a25c9834e0745ac74248a4	248854	0.487462	-	-
65	18ZMbwUFLMHoZBbfpCjUJQTCMCbktshgpe	solved	52e763a7ddc1aa4fa811578c491c1bc7fd570137	31447	0.061599	-	-
66	13zb1hQbWVsc2S7ZTZnP2G4undNNpdh5so	solved	20d45a6a762535700ce9e0b216e31994335db8a5	27057	0.053000	-	-
67	1BY8GQbnueYofwSuFAT3USAhGjPrkxDdW9	solved	739437bb3dd6d1983e66629c5f08c70e52769371	493975	0.967611	19	-
68	1MVDYgVaSN6iKKEsbzRUAYFrYJadLYZvvZ	solved	e0b8a2baee1b77fc703455f39d51477451fc8cfc	107074	0.209739	4	-
69	19vkiEajfhuZ8bs8Zu2jgmC6oqZbWqhxhG	solved	61eb8a50c86b0584bb727dd65bed8d2400d6d5aa	443376	0.868496	17	-
70	19YZECXj3SxEZMoUeJ1yiPsw8xANe7M7QR	solved	5db8cda53a6a002db10365967d7f85d19e171b10	285920	0.560067	11	P1 quad-conv
71	1PWo3JeB9jrGwfHDNpdGK54CRas7fsVzXU	unsolved	f6f5431d25bbf7b12e8add9af5e3475c44a0a5b8	289116	0.566328	11	P1 quad-conv
72	1JTK7s9YVYywfm5XUH7RNhHJH1LshCaRFR	unsolved	bf7413e8df4e7a34ce9dc13e2f2648783ec54adb	394415	0.772590	-	-
73	12VVRNPi4SJqUTsp6FmqDqY5sGosDtysn4	unsolved	105b7f253f0ebd7843adaebbd805c944bfb863e4	504290	0.987816	19	-
74	1FWGcVDK3JGzCC3WtkYetULPszMaK2Jksv	unsolved	9f1adb20baeacc38b3f49f3df6906a0e48f2df3d	497057	0.973648	19	-
